NBA.com Abbreviation,BigDataBall Abbreviation,Long Name,City Name
ATL,Atl,Atlanta Hawks,Atlanta
BKN,Bro,Brooklyn Nets,Brooklyn
BOS,Bos,Boston Celtics,Boston
CHA,Cha,Charlotte Hornets,Charlotte
CHA,Cha,Charlotte Bobcats,Charlotte
CHI,Chi,Chicago Bulls,Chicago
CLE,Cle,Cleveland Cavaliers,Cleveland
DAL,Dal,Dallas Mavericks,Dallas
DEN,Den,Denver Nuggets,Denver
DET,Det,Detroit Pistons,Detroit
GSW,Gol,Golden State Warriors,Golden State
HOU,Hou,Houston Rockets,Houston
IND,Ind,Indiana Pacers,Indiana
LAC,Lac,Los Angeles Clippers,LA Clippers
LAL,Lal,Los Angeles Lakers,LA Lakers
MEM,Mem,Memphis Grizzlies,Memphis
MIA,Mia,Miami Heat,Miami
MIL,Mil,Milwaukee Bucks,Milwaukee
MIN,Min,Minnesota Timberwolves,Minnesota
NJN,Njn,New Jersey Nets,New Jersey
NOP,Nor,New Orleans Pelicans,New Orleans
NYK,Nyk,New York Knicks,New York
OKC,Okc,Oklahoma City Thunder,Oklahoma City
ORL,Orl,Orlando Magic,Orlando
PHI,Phi,Philadelphia 76ers,Philadelphia
PHX,Pho,Phoenix Suns,Phoenix
POR,Por,Portland Trailblazers,Portland
SAC,Sac,Sacramento Kings,Sacramento
SAS,San,San Antonio Spurs,San Antonio
SEA,Sea,Seattle Supersonics,Seattle
TOR,Tor,Toronto Raptors,Toronto
UTA,Uta,Utah Jazz,Utah
WAS,Was,Washington Wizards,Washington